RecordID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Fach|Signatur|URL
001700047|Nevalainen, Terttu|An introduction to early modern English||2006|978-0-7486-1524-7|eng|cofz , text , lb28  BSO ,|HF 100 N499|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10130482
001505472|Newton, Kenneth|Foundations of comparative politics|2. ed.|2010|978-0-521-19988-9|eng|cofz , text , lb07  BSO ,|ME 1000 N564|http://www.myilibrary.com?id=265324
001539628|Nicol, Natascha|Wissenschaftliche Arbeiten schreiben mit Word 2007|6., aktualisierte Aufl|2007|978-3-8273-2530-3|ger|cofz , text , lb01  BSO ,|AK 39580 N634|http://proquest.tech.safaribooksonline.de/9783827325303
001605519|Nicol, Natascha|Wissenschaftliche Arbeiten schreiben mit Word 2010||0|978-3-8273-2962-2|ger|cofz , text , lb12  BSO ,|ST 351 W61 W816(7)|http://proquest.tech.safaribooksonline.de/9783827329622
001700167|Norde, Muriel|Degrammaticalization|1. publ.|2009|978-0-19-920793-0|eng|cofz , text , lb27  BSO ,|ET 100 N828|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10348629
001402392|Nöllke, Claudia|Das Vorstellungsgespräch für Frauen||2007|3-448-08612-6|ger|cofz , text , lb01  BSO ,|AL 43950 N769|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/12307
001565542|O'Rourke, Kevin H.|Globalization and history||2001|0-262-65059-2|eng|cofz , text , lb08  BSO ,|QM 100 O74|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10225281
001699269|Oberguggenberger, Michael|Analysis für Informatiker|2. Aufl.|2009|978-3-540-89822-1|ger|cofz , text , lb11  BSO ,|SK 400 O12(2)|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10279586
001626414|Oerter, Rolf|Entwicklungspsychologie|6., vollst. überarb. Aufl.|2008|978-3-621-27847-8|ger|cofz , text , lb03  BSO ,|CQ 1000 O29|http://www.content-select.com/index.php?id=bib%5Fview&ean=9783621278478
001684205|Otto, Harro|Grundkurs Strafrecht|7., neubearb. Aufl.|2004|3-89949-139-4|ger|cofz , text , cofz , text , lb09  BSO ,|PH 2600 O91-1(7)|http://www.degruyter.com/viewbooktoc/product/61659
001600520|Otto, Harro|Grundkurs Strafrecht|7., neu bearb. Aufl.|2005|3-89949-228-5|ger|cofz , text , lb09  BSO , druck ,|PH 2600 O91-2(7)|http://www.degruyter.com/viewbooktoc/product/20409
001505469|Peitz, Martin|Industrial organization||0|978-0-521-86299-8|eng|cofz , text , lb08  BSO ,|QC 130 B438|http://www.myilibrary.com?id=265292
001586109|Pieroth, Bodo|Polizei- und Ordnungsrecht|7. Aufl.|2012||ger|cofz , text , lb09  BSO ,|PN 355 P619(7)|http://ebibliothek.beck.de/?vpath=bibdata/komm/PiSchKnHdbPAG%5F7/cont/PiSchKnHdbPAG.htm
