Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
000792672|Bossinade, Johanna|Poststrukturalistische Literaturtheorie||2000|3-476-10324-2|ger|110 EC 1850 B745|27
001609111|Bourier, Günther|Beschreibende Statistik|11., aktualisierte Aufl.|2013|978-3-658-01364-6|ger|110 SK 840 B774(11)|11
001600139|Bourier, Günther|Wahrscheinlichkeitsrechnung und schließende Statistik|8., aktual. Aufl.|2013|978-3-658-01446-9|ger|110 SK 800 B774(8)|11
001061800|Brackert, Helmut|Literaturwissenschaft|Erw. Ausg. = 4. Aufl., 13. - 15. Tsd.|1996|3-499-55523-9|ger|110 EC 1700 B797(4)|27
000712640|Branahl, Udo|Medienrecht|4., überarb. Aufl.|2002|3-531-52319-3|ger|110 AP 18800 B816|25
001464409|Brand, Oliver|Schadensersatzrecht||2010|978-3-406-58998-0|ger|110 PD 3780 B817|09
001687402|Brandt, Ahasver von|Werkzeug des Historikers|18. Aufl. / mit aktualisierten Literaturnachträgen und einem Nachw. von Franz Fuchs|2012|978-3-17-022245-8|ger|110 NB 1100 B821(18)|34
001117541|Brandt, Rüdiger|Grundkurs germanistische Mediävistik, Literaturwissenschaft||1999|3-8252-2071-0|ger|110 GE 7060 B821|29
001552503|Braun, Boris|Wirtschaftsgeographie||2012|978-3-8252-3641-0|ger|110 RB 10050 B825|08
001063001|Braun, Christina von|Gender-Studien||2000|3-476-01636-6|ger|110 EC 1876 B825|27
001349323|Brauner, Detlef Jürgen|Erfolgreiches wissenschaftliches Arbeiten|3., überarb. und erw. Aufl.|2008|978-3-89673-453-2|ger|110 AK 39540 B825(3)|01
001613482|Brealey, Richard A.|Principles of corporate finance|11. ed., global ed.|2014|978-0-07-715156-0|eng|110 QP 710 B828(11e)|08
000296580|Brehm, Sharon S.|Social psychology|6. ed.|2005|0-618-40337-X|eng|110 CV 1000 B834|03
